horario,precio,aerolinea,paradas,enlace
18:38-20:26,248100.0,Viva Air Colombia,directo ,https://www.kayak.com.co/book/flight?code=SpAie7S5Hv.6We7wBYoN-cNUvH8T-y68A.6468.05c3494908a4886b1b6c74a5f483518c&h=fd112767c285&sub=E-1ddaabeab41&pageOrigin=F..RP.MB.M0
13:04-14:50,323050.0,Viva Air Colombia,directo ,https://www.kayak.com.co/book/flight?code=SpAie7S5Hv.6We7wBYoN-cNUvH8T-y68A.8361.dcea4003a7c6b2466ba56111c255fe0b&h=2cd488ee5667&sub=E-1ddaabeab41&pageOrigin=F..RP.MB.M1
13:04-14:50,323050.0,Viva Air Colombia,directo ,https://www.kayak.com.co/book/flight?code=SpAie7S5Hv.6We7wBYoN-cNUvH8T-y68A.8361.dcea4003a7c6b2466ba56111c255fe0b&h=2cd488ee5667&sub=E-1ddaabeab41&pageOrigin=F..RP.MB.M15
12:55-14:40,490063.0,LATAM Airlines,directo ,https://www.kayak.com.co/book/flight?code=SpAie7S5Hv.kUvKXh-Ch4QCTw-9KaXjEA.12400.ebbcd9513f9ff67e77f9f0236a43714c&h=ccbe7ebad778&_kw_pbranded=true&sub=E-1538f49366e&pageOrigin=F..RP.MB.M16
12:52-14:40,343050.0,Viva Air Colombia,directo ,https://www.kayak.com.co/book/flight?code=SpAie7S5Hv.6We7wBYoN-cNUvH8T-y68A.8866.c3776a928d0462bf7b3a1197517291ca&h=a41da463e6ba&sub=E-1ddaabeab41&pageOrigin=F..RP.MB.M17
4:05-5:52,379050.0,Viva Air Colombia,directo ,https://www.kayak.com.co/book/flight?code=SpAie7S5Hv.6We7wBYoN-cNUvH8T-y68A.9775.f302abac4280dc83324cee1149569a68&h=55bd7d5adcc1&sub=E-1ddaabeab41&pageOrigin=F..RP.MB.M18
15:45-17:30,251141.0,"LATAM Airlines, Viva Air Colombia",directo ,https://www.kayak.com.cojavascript:void(0)
6:03-7:51,558439.0,Viva Air Colombia,directo ,https://www.kayak.com.co/book/flight?code=SpAie7S5Hv.ZheJHZqHLmzKJvcpKN_waA.14356.cc4e7601db774ddf2545a83f7657b39c&h=d7ebad3a2780&sub=E-1d00ec69479&pageOrigin=F..RP.MB.M20
15:45-17:30,423200.0,LATAM Airlines,directo ,https://www.kayak.com.co/book/flight?code=SpAie7S5Hv.kUvKXh-Ch4QCTw-9KaXjEA.12400.de2d5e016f3ce1efc507f6493750d050&h=4c34ea689e75&_kw_pbranded=true&sub=E-1538f49366e&pageOrigin=F..RP.MB.M21
12:55-14:40,304041.0,"LATAM Airlines, Viva Air Colombia",directo ,https://www.kayak.com.cojavascript:void(0)
18:38-20:26,428809.0,"Viva Air Colombia, LATAM Airlines",directo ,https://www.kayak.com.cojavascript:void(0)
18:38-20:26,798895.0,Viva Air Colombia,directo ,https://www.kayak.com.co/book/flight?code=SpAie7S5Hv.ZheJHZqHLmzKJvcpKN_waA.20456.12ff683297c44b948de1381f18e71daa&h=71ee196ae2fa&sub=E-1d00ec69479&pageOrigin=F..RP.MB.M24
13:04-14:50,873845.0,Viva Air Colombia,directo ,https://www.kayak.com.co/book/flight?code=SpAie7S5Hv.ZheJHZqHLmzKJvcpKN_waA.22357.5f6edc35bb130615ad7f1a7e022f98df&h=8d129089067d&sub=E-1d00ec69479&pageOrigin=F..RP.MB.M25
12:52-14:40,893845.0,Viva Air Colombia,directo ,https://www.kayak.com.co/book/flight?code=SpAie7S5Hv.ZheJHZqHLmzKJvcpKN_waA.22864.157fe711de7876c88df43dcc8bc4a954&h=8cb6cecbf239&sub=E-1d00ec69479&pageOrigin=F..RP.MB.M26
4:05-5:52,929845.0,Viva Air Colombia,directo ,https://www.kayak.com.co/book/flight?code=SpAie7S5Hv.KSQKogRsMb9PnAF_oTbxdQ.24033.39bea05c66915ba045dafb7173b370d9&h=6a026426f387&sub=E-16f9c3f417f&pageOrigin=F..RP.MB.M27
6:03-7:51,1109234.0,Viva Air Colombia,directo ,https://www.kayak.com.co/book/flight?code=SpAie7S5Hv.KSQKogRsMb9PnAF_oTbxdQ.28571.adbb577a1daf5d06060f23101b2fcd12&h=c04f699934f7&sub=E-16f9c3f417f&pageOrigin=F..RP.MB.M28
13:04-14:50,323050.0,Viva Air Colombia,directo ,https://www.kayak.com.co/book/flight?code=SpAie7S5Hv.6We7wBYoN-cNUvH8T-y68A.8361.dcea4003a7c6b2466ba56111c255fe0b&h=2cd488ee5667&sub=E-1ddaabeab41&pageOrigin=F..RP.MB.M30
12:55-14:40,490063.0,LATAM Airlines,directo ,https://www.kayak.com.co/book/flight?code=SpAie7S5Hv.kUvKXh-Ch4QCTw-9KaXjEA.12400.ebbcd9513f9ff67e77f9f0236a43714c&h=ccbe7ebad778&_kw_pbranded=true&sub=E-1538f49366e&pageOrigin=F..RP.MB.M31
12:52-14:40,343050.0,Viva Air Colombia,directo ,https://www.kayak.com.co/book/flight?code=SpAie7S5Hv.6We7wBYoN-cNUvH8T-y68A.8866.c3776a928d0462bf7b3a1197517291ca&h=a41da463e6ba&sub=E-1ddaabeab41&pageOrigin=F..RP.MB.M32
4:05-5:52,379050.0,Viva Air Colombia,directo ,https://www.kayak.com.co/book/flight?code=SpAie7S5Hv.6We7wBYoN-cNUvH8T-y68A.9775.f302abac4280dc83324cee1149569a68&h=55bd7d5adcc1&sub=E-1ddaabeab41&pageOrigin=F..RP.MB.M33
15:45-17:30,251141.0,"LATAM Airlines, Viva Air Colombia",directo ,https://www.kayak.com.cojavascript:void(0)
6:03-7:51,558439.0,Viva Air Colombia,directo ,https://www.kayak.com.co/book/flight?code=SpAie7S5Hv.ZheJHZqHLmzKJvcpKN_waA.14356.cc4e7601db774ddf2545a83f7657b39c&h=d7ebad3a2780&sub=E-1d00ec69479&pageOrigin=F..RP.MB.M35
15:45-17:30,423200.0,LATAM Airlines,directo ,https://www.kayak.com.co/book/flight?code=SpAie7S5Hv.kUvKXh-Ch4QCTw-9KaXjEA.12400.de2d5e016f3ce1efc507f6493750d050&h=4c34ea689e75&_kw_pbranded=true&sub=E-1538f49366e&pageOrigin=F..RP.MB.M36
12:55-14:40,304041.0,"LATAM Airlines, Viva Air Colombia",directo ,https://www.kayak.com.cojavascript:void(0)
18:38-20:26,428809.0,"Viva Air Colombia, LATAM Airlines",directo ,https://www.kayak.com.cojavascript:void(0)
18:38-20:26,798895.0,Viva Air Colombia,directo ,https://www.kayak.com.co/book/flight?code=SpAie7S5Hv.ZheJHZqHLmzKJvcpKN_waA.20456.12ff683297c44b948de1381f18e71daa&h=71ee196ae2fa&sub=E-1d00ec69479&pageOrigin=F..RP.MB.M39
13:04-14:50,873845.0,Viva Air Colombia,directo ,https://www.kayak.com.co/book/flight?code=SpAie7S5Hv.ZheJHZqHLmzKJvcpKN_waA.22357.5f6edc35bb130615ad7f1a7e022f98df&h=8d129089067d&sub=E-1d00ec69479&pageOrigin=F..RP.MB.M40
12:52-14:40,893845.0,Viva Air Colombia,directo ,https://www.kayak.com.co/book/flight?code=SpAie7S5Hv.ZheJHZqHLmzKJvcpKN_waA.22864.157fe711de7876c88df43dcc8bc4a954&h=8cb6cecbf239&sub=E-1d00ec69479&pageOrigin=F..RP.MB.M41
4:05-5:52,929845.0,Viva Air Colombia,directo ,https://www.kayak.com.co/book/flight?code=SpAie7S5Hv.KSQKogRsMb9PnAF_oTbxdQ.24033.39bea05c66915ba045dafb7173b370d9&h=6a026426f387&sub=E-16f9c3f417f&pageOrigin=F..RP.MB.M42
6:03-7:51,1109234.0,Viva Air Colombia,directo ,https://www.kayak.com.co/book/flight?code=SpAie7S5Hv.KSQKogRsMb9PnAF_oTbxdQ.28571.adbb577a1daf5d06060f23101b2fcd12&h=c04f699934f7&sub=E-16f9c3f417f&pageOrigin=F..RP.MB.M43
4:05-5:52,635350.0,"Viva Air Colombia, LATAM Airlines",directo ,https://www.kayak.com.co/book/flight?code=SpAie7S5Hv.Fs5fII-p3hc0ejdxgNj3abaYAeeTFjgE.18432.b9b9ee27336e1043a11270cc21e88f53&h=ec8e3f90bc97&sub=E-10cc9ba93e2&pageOrigin=F..RP.MB.M31
15:45-17:30,273434.0,LATAM Airlines,directo ,https://www.kayak.com.co/book/flight?code=SpAie7S5Hv.6Fz1aSgQistFj024N3_sTg.7323.aa26e669a34543064f0551fad3a17d8c&h=3d1657d6b4da&sub=E-1a7c7c0b561&pageOrigin=F..RP.MB.M32
13:04-14:50,379650.0,"Viva Air Colombia, LATAM Airlines",directo ,https://www.kayak.com.co/book/flight?code=SpAie7S5Hv.6We7wBYoN-cNUvH8T-y68A.10629.577d637a5b8812fdc9593bbd0e7943ed&h=ff58052b4682&sub=E-11d0ff1c34a&pageOrigin=F..RP.MB.M33
12:55-14:40,330326.0,LATAM Airlines,directo ,https://www.kayak.com.co/book/flight?code=SpAie7S5Hv.6Fz1aSgQistFj024N3_sTg.8661.3199f577ee8d9ed569a6946666568222&h=a08d4c979e3c&sub=E-1a7c7c0b561&pageOrigin=F..RP.MB.M34
13:04-14:50,379650.0,"Viva Air Colombia, LATAM Airlines",directo ,https://www.kayak.com.co/book/flight?code=SpAie7S5Hv.6We7wBYoN-cNUvH8T-y68A.10629.b695b70bb905f1ee300d098846429b49&h=c8a8fbc49481&sub=E-11d0ff1c34a&pageOrigin=F..RP.MB.M35
12:55-14:40,330368.0,LATAM Airlines,directo ,https://www.kayak.com.co/book/flight?code=SpAie7S5Hv.6Fz1aSgQistFj024N3_sTg.8661.e4a37f014e353fbc1451f16150a724f6&h=2ed74f824bdb&sub=E-1a7c7c0b561&pageOrigin=F..RP.MB.M36
13:04-14:50,398650.0,"Viva Air Colombia, LATAM Airlines",directo ,https://www.kayak.com.co/book/flight?code=SpAie7S5Hv.6We7wBYoN-cNUvH8T-y68A.10629.b40ce16b13c05ff4e7a91c4e89c2d555&h=4229e5407ece&sub=E-11d0ff1c34a&pageOrigin=F..RP.MB.M37
8:58-13:37,336600.0,"Avianca, LATAM Airlines",BOG,https://www.kayak.com.co/book/flight?code=SpAie7S5Hv.Fs5fII-p3hc0ejdxgNj3abaYAeeTFjgE.11195.7068c1329828e3638a64ad9b38cdd17f&h=33015e09d771&sub=E-18f39d58663&pageOrigin=F..RP.MB.M38
18:38-20:26,798895.0,Viva Air Colombia,directo ,https://www.kayak.com.co/book/flight?code=SpAie7S5Hv.ZheJHZqHLmzKJvcpKN_waA.20456.12ff683297c44b948de1381f18e71daa&h=71ee196ae2fa&sub=E-1d00ec69479&pageOrigin=F..RP.MB.M39
15:45-17:30,811595.0,"LATAM Airlines, Viva Air Colombia",directo ,https://www.kayak.com.co/book/flight?code=SpAie7S5Hv.Fs5fII-p3hc0ejdxgNj3abaYAeeTFjgE.23201.d94e86d35bb93b4bf7cf895341296554&h=bbd4203ee2c3&sub=E-142cb8b9d9d&pageOrigin=F..RP.MB.M40
6:03-7:51,814739.0,"Viva Air Colombia, LATAM Airlines",directo ,https://www.kayak.com.co/book/flight?code=SpAie7S5Hv.Fs5fII-p3hc0ejdxgNj3abaYAeeTFjgE.23007.0782f0ab02d0e5acab535b85d6800f14&h=c2e500b9db20&sub=E-10cc9ba93e2&pageOrigin=F..RP.MB.M41
12:52-14:40,418650.0,"Viva Air Colombia, LATAM Airlines",directo ,https://www.kayak.com.co/book/flight?code=SpAie7S5Hv.6We7wBYoN-cNUvH8T-y68A.11132.dbfdbb9121e3b525a8f1ae5aeb82151a&h=969e571af396&sub=E-11d0ff1c34a&pageOrigin=F..RP.MB.M42
18:38-20:26,304700.0,"Viva Air Colombia, LATAM Airlines",directo ,https://www.kayak.com.co/book/flight?code=SpAie7S5Hv.qEot5fi9CI0Edn9PX-8xhQ.7748.3b823ea92dc129771b2641304119d74d&h=b44114df38f1&sub=E-1192e147c96&pageOrigin=F..RP.MB.M43
18:38-20:26,328145.0,Viva Air Colombia,directo ,https://www.kayak.com.co/book/flight?code=SpAie7S5Hv.ZheJHZqHLmzKJvcpKN_waA.8616.da0b809cb29c4676805e7e96516befd3&h=4e680e5844c6&sub=E-1d00ec69479&pageOrigin=F..RP.MB.M44
15:45-17:30,340845.0,"LATAM Airlines, Viva Air Colombia",directo ,https://www.kayak.com.co/book/flight?code=SpAie7S5Hv.6We7wBYoN-cNUvH8T-y68A.11047.65e3a69abae50e6fb17e58280934109b&h=38c4503419e6&sub=E-126284f34db&pageOrigin=F..RP.MB.M45
12:55-14:40,864495.0,"LATAM Airlines, Viva Air Colombia",directo ,https://www.kayak.com.co/book/flight?code=SpAie7S5Hv.Fs5fII-p3hc0ejdxgNj3abaYAeeTFjgE.24434.105873fa8f9999c8b44d13c7314033ad&h=43dce154a61b&sub=E-142cb8b9d9d&pageOrigin=F..RP.MB.M46
15:45-17:30,258486.0,LATAM Airlines,directo ,https://www.kayak.com.co/book/flight?code=SpAie7S5Hv.6Fz1aSgQistFj024N3_sTg.6938.bb93726cb0040d38697d1e0e9ff3e064&h=8a340f8bf939&sub=E-1a7c7c0b561&pageOrigin=F..RP.MB.M47
13:04-14:50,379650.0,"Viva Air Colombia, LATAM Airlines",directo ,https://www.kayak.com.co/book/flight?code=SpAie7S5Hv.6We7wBYoN-cNUvH8T-y68A.10629.13c4fbf0c34eba6e654fd5d6c98db1bf&h=6581ee5bbde2&sub=E-11d0ff1c34a&pageOrigin=F..RP.MB.M48
7:36-11:42,336297.0,Viva Air Colombia,BOG,https://www.kayak.com.co/book/flight?code=SpAie7S5Hv.ZheJHZqHLmzKJvcpKN_waA.8824.9d81d115c5ffa330009b29a06dbaa2fa&h=08c31e58dc91&sub=E-1d00ec69479&pageOrigin=F..RP.MB.M49
13:04-14:50,873845.0,Viva Air Colombia,directo ,https://www.kayak.com.co/book/flight?code=SpAie7S5Hv.ZheJHZqHLmzKJvcpKN_waA.22357.5f6edc35bb130615ad7f1a7e022f98df&h=8d129089067d&sub=E-1d00ec69479&pageOrigin=F..RP.MB.M50
15:45-17:30,273392.0,LATAM Airlines,directo ,https://www.kayak.com.co/book/flight?code=SpAie7S5Hv.6Fz1aSgQistFj024N3_sTg.7323.cc288517543b75c6d42d4b26a86af136&h=a21019d7395b&sub=E-1a7c7c0b561&pageOrigin=F..RP.MB.M51
12:52-14:40,893845.0,Viva Air Colombia,directo ,https://www.kayak.com.co/book/flight?code=SpAie7S5Hv.ZheJHZqHLmzKJvcpKN_waA.22864.157fe711de7876c88df43dcc8bc4a954&h=8cb6cecbf239&sub=E-1d00ec69479&pageOrigin=F..RP.MB.M52
13:04-14:50,379650.0,"Viva Air Colombia, LATAM Airlines",directo ,https://www.kayak.com.co/book/flight?code=SpAie7S5Hv.6We7wBYoN-cNUvH8T-y68A.10629.9c69ecc0032f3cbe42b5fe15a2c119f5&h=44b84e0673d6&sub=E-11d0ff1c34a&pageOrigin=F..RP.MB.M53
13:04-14:50,403095.0,Viva Air Colombia,directo ,https://www.kayak.com.co/book/flight?code=SpAie7S5Hv.ZheJHZqHLmzKJvcpKN_waA.10517.4d8f47173b1a6e33946f78bef4630adc&h=69a695a0d7ca&sub=E-1d00ec69479&pageOrigin=F..RP.MB.M54
19:14-23:30,345145.0,Viva Air Colombia,BOG,https://www.kayak.com.co/book/flight?code=SpAie7S5Hv.ZheJHZqHLmzKJvcpKN_waA.9047.1c119b12c07b3dcd2806c21e5d592ab5&h=2743e11e561b&sub=E-1d00ec69479&pageOrigin=F..RP.MB.M55
12:55-14:40,311554.0,LATAM Airlines,directo ,https://www.kayak.com.co/book/flight?code=SpAie7S5Hv.6Fz1aSgQistFj024N3_sTg.8276.f8ac3e42298222dbf5fcf83f68a33b87&h=b46e5e6916e5&sub=E-1a7c7c0b561&pageOrigin=F..RP.MB.M56
15:45-17:30,280728.0,LATAM Airlines,directo ,https://www.kayak.com.co/book/flight?code=SpAie7S5Hv.6Fz1aSgQistFj024N3_sTg.7500.9d0ff9a93a87985edc31179e6cfc32e5&h=965a300777ae&sub=E-1a7c7c0b561&pageOrigin=F..RP.MB.M57
12:55-14:40,330326.0,LATAM Airlines,directo ,https://www.kayak.com.co/book/flight?code=SpAie7S5Hv.6Fz1aSgQistFj024N3_sTg.8661.ac42d1b68ed93fc83790808d4b5cc026&h=498e88603b9c&sub=E-1a7c7c0b561&pageOrigin=F..RP.MB.M58
19:03-20:48,591005.0,LATAM Airlines,directo ,https://www.kayak.com.co/book/flight?code=SpAie7S5Hv.xC7mv2DCCG0DzQq2dWkU9A.14953.662d5bcd4076c72000d739cfdc63f22e&h=d07aa50cfd6c&sub=E-105d2979118&pageOrigin=F..RP.MB.M59
19:03-20:48,591005.0,LATAM Airlines,directo ,https://www.kayak.com.co/book/flight?code=SpAie7S5Hv.xC7mv2DCCG0DzQq2dWkU9A.14953.295c3f26322ba40496e9beaf61c97782&h=dc5ef78b169f&sub=E-105d2979118&pageOrigin=F..RP.MB.M60
19:03-20:48,591005.0,LATAM Airlines,directo ,https://www.kayak.com.co/book/flight?code=SpAie7S5Hv.xC7mv2DCCG0DzQq2dWkU9A.14953.6ed45b76df7864c8c52fdb546ef0b20f&h=1cd0172019ac&sub=E-105d2979118&pageOrigin=F..RP.MB.M61
13:04-14:50,364450.0,"Viva Air Colombia, LATAM Airlines",directo ,https://www.kayak.com.co/book/flight?code=SpAie7S5Hv.Fs5fII-p3hc0ejdxgNj3abaYAeeTFjgE.11280.a2d672617a4a1a8377003abe8f89dc29&h=13fae198dd43&sub=E-17f602e2104&pageOrigin=F..RP.MB.M62
15:45-17:30,273392.0,LATAM Airlines,directo ,https://www.kayak.com.co/book/flight?code=SpAie7S5Hv.6Fz1aSgQistFj024N3_sTg.7323.9ea841a93677debf7bdc8c501875f62f&h=cdd09b3ed5e8&sub=E-1a7c7c0b561&pageOrigin=F..RP.MB.M63
4:05-5:52,929845.0,Viva Air Colombia,directo ,https://www.kayak.com.co/book/flight?code=SpAie7S5Hv.KSQKogRsMb9PnAF_oTbxdQ.24033.39bea05c66915ba045dafb7173b370d9&h=6a026426f387&sub=E-16f9c3f417f&pageOrigin=F..RP.MB.M64
18:38-20:26,314009.0,"Viva Air Colombia, LATAM Airlines",directo ,https://www.kayak.com.co/book/flight?code=SpAie7S5Hv.iPJIaPv5Rj5w1Q3KrTU5Gg.8190.bc0dcf91554b99d4a81e106443609e75&h=6bb847046d88&sub=E-1912a1bf02b&pageOrigin=F..RP.MB.M65
12:52-14:40,384450.0,"Viva Air Colombia, LATAM Airlines",directo ,https://www.kayak.com.co/book/flight?code=SpAie7S5Hv.Fs5fII-p3hc0ejdxgNj3abaYAeeTFjgE.11786.720788b3eeb14edbba4a47dd9db4b0e1&h=62bead3cc093&sub=E-17f602e2104&pageOrigin=F..RP.MB.M66
19:03-20:48,833406.0,LATAM Airlines,directo ,https://www.kayak.com.co/book/flight?code=SpAie7S5Hv.xC7mv2DCCG0DzQq2dWkU9A.21086.5bd892371dbff5b2d990caeda347ef61&h=444dd64404b3&sub=E-105d2979118&pageOrigin=F..RP.MB.M67
12:55-14:40,330326.0,LATAM Airlines,directo ,https://www.kayak.com.co/book/flight?code=SpAie7S5Hv.6Fz1aSgQistFj024N3_sTg.8661.150ba5d34fc35918f1ef8d8b051dada4&h=dc4fab00343d&sub=E-1a7c7c0b561&pageOrigin=F..RP.MB.M68
18:38-20:26,328145.0,Viva Air Colombia,directo ,https://www.kayak.com.co/book/flight?code=SpAie7S5Hv.ZheJHZqHLmzKJvcpKN_waA.8616.6e62b3906c87c62858a669f2712374e9&h=f46e13d61003&sub=E-1d00ec69479&pageOrigin=F..RP.MB.M69
6:03-7:51,1109234.0,Viva Air Colombia,directo ,https://www.kayak.com.co/book/flight?code=SpAie7S5Hv.KSQKogRsMb9PnAF_oTbxdQ.28571.adbb577a1daf5d06060f23101b2fcd12&h=c04f699934f7&sub=E-16f9c3f417f&pageOrigin=F..RP.MB.M70
15:45-17:30,273434.0,LATAM Airlines,directo ,https://www.kayak.com.co/book/flight?code=SpAie7S5Hv.6Fz1aSgQistFj024N3_sTg.7323.004d0f27c5fea1224291c8da6e67da8c&h=b433cced1062&sub=E-1a7c7c0b561&pageOrigin=F..RP.MB.M71
7:03-13:37,336600.0,"Avianca, LATAM Airlines",BOG,https://www.kayak.com.co/book/flight?code=SpAie7S5Hv.iPJIaPv5Rj5w1Q3KrTU5Gg.8517.abf521ca380b12326eb686f73a2c3d78&h=07612f25dca0&sub=E-120ba2dd45e&pageOrigin=F..RP.MB.M72
8:58-13:37,364900.0,"Avianca, LATAM Airlines",BOG,https://www.kayak.com.co/book/flight?code=SpAie7S5Hv.Fs5fII-p3hc0ejdxgNj3abaYAeeTFjgE.11502.c289144421f6f7972e06aa99974e3b79&h=8ee03405cc98&sub=E-18fdfb5dca7&pageOrigin=F..RP.MB.M73
13:04-14:50,403095.0,Viva Air Colombia,directo ,https://www.kayak.com.co/book/flight?code=SpAie7S5Hv.ZheJHZqHLmzKJvcpKN_waA.10517.690a16ebc95fa2538765fa0c69cdada5&h=a555459bf99f&sub=E-1d00ec69479&pageOrigin=F..RP.MB.M74
19:03-20:48,784041.0,LATAM Airlines,directo ,https://www.kayak.com.co/book/flight?code=SpAie7S5Hv.xC7mv2DCCG0DzQq2dWkU9A.19837.d9c73c2aff1dab5c9c087f97b1137d23&h=90145e28c7cf&sub=E-105d2979118&pageOrigin=F..RP.MB.M75
10:37-15:14,326502.0,LATAM Airlines,BOG,https://www.kayak.com.co/book/flight?code=SpAie7S5Hv.6Fz1aSgQistFj024N3_sTg.8661.bfce8fcaf99e358a75fc0289c5640523&h=a8f845f1180b&sub=E-1e7cf1a9b77&pageOrigin=F..RP.MB.M76
8:45-13:58,585812.0,LATAM Airlines,BOG,https://www.kayak.com.co/book/flight?code=SpAie7S5Hv.kUvKXh-Ch4QCTw-9KaXjEA.17032.2812504be0e37f88eeec8bb9cf2343a0&h=5eafdf90f5ab&_kw_pbranded=true&sub=E-170e25ae11e&pageOrigin=F..RP.MB.M77
12:55-14:40,330326.0,LATAM Airlines,directo ,https://www.kayak.com.co/book/flight?code=SpAie7S5Hv.6Fz1aSgQistFj024N3_sTg.8661.c59de4f99ca883c7e5c24b4ba3fedc3d&h=f234e8dda67a&sub=E-1a7c7c0b561&pageOrigin=F..RP.MB.M78
17:44-23:14,583250.0,LATAM Airlines,BOG,https://www.kayak.com.co/book/flight?code=SpAie7S5Hv.18wgSzIaLAlgpzrTH2pViLaYAeeTFjgE.15567.d6e9bd749bd77330a203b932b2e779ef&h=e532e605d701&sub=E-1d5b5494b69&pageOrigin=F..RP.MB.M79
10:37-15:14,326502.0,LATAM Airlines,BOG,https://www.kayak.com.co/book/flight?code=SpAie7S5Hv.6Fz1aSgQistFj024N3_sTg.8661.11d2c6c96aa66fff26fc1977ad0463fb&h=7e9d29e2afd9&sub=E-1e7cf1a9b77&pageOrigin=F..RP.MB.M80
7:36-11:42,392897.0,"Viva Air Colombia, LATAM Airlines",BOG,https://www.kayak.com.co/book/flight?code=SpAie7S5Hv.6We7wBYoN-cNUvH8T-y68A.11062.585fb4042499b2f099c4ba5cb752b860&h=928adf459c9b&sub=E-11d0ff1c34a&pageOrigin=F..RP.MB.M81
5:59-10:14,326502.0,LATAM Airlines,BOG,https://www.kayak.com.co/book/flight?code=SpAie7S5Hv.6Fz1aSgQistFj024N3_sTg.8661.b1b60b544f00ba5c1a898984d321cb6b&h=44fda0c84919&sub=E-1e7cf1a9b77&pageOrigin=F..RP.MB.M82
15:02-19:30,304141.0,"Avianca, Viva Air Colombia",BOG,https://www.kayak.com.co/book/flight?code=SpAie7S5Hv.iPJIaPv5Rj5w1Q3KrTU5Gg.7940.b64186f4184e82935095e51692ee1536&h=6371105e4837&sub=E-1a3855396f1&pageOrigin=F..RP.MB.M83
10:37-15:14,345208.0,LATAM Airlines,BOG,https://www.kayak.com.co/book/flight?code=SpAie7S5Hv.6Fz1aSgQistFj024N3_sTg.9142.cdfde4f211097c352025c08863c63129&h=fdb7f165761b&sub=E-1e7cf1a9b77&pageOrigin=F..RP.MB.M84
5:59-10:14,326502.0,LATAM Airlines,BOG,https://www.kayak.com.co/book/flight?code=SpAie7S5Hv.6Fz1aSgQistFj024N3_sTg.8661.90891f212d60ee66e836dd3567577103&h=fb1d57c42df4&sub=E-1e7cf1a9b77&pageOrigin=F..RP.MB.M85
8:58-13:37,304141.0,"Avianca, Viva Air Colombia",BOG,https://www.kayak.com.co/book/flight?code=SpAie7S5Hv.iPJIaPv5Rj5w1Q3KrTU5Gg.7940.c51a350bdec69ba9cd11d02947e2fb86&h=1475285f3cf4&sub=E-1a3855396f1&pageOrigin=F..RP.MB.M86
15:45-17:30,277720.0,LATAM Airlines,directo ,https://www.kayak.com.co/book/flight?code=SpAie7S5Hv.6Fz1aSgQistFj024N3_sTg.7323.1f8a80f4dba785c77c2811cce2bc0a74&h=002e98d114fc&sub=E-1a7c7c0b561&pageOrigin=F..RP.MB.M87
8:10-15:14,354232.0,LATAM Airlines,BOG,https://www.kayak.com.co/book/flight?code=SpAie7S5Hv.DV5-itvmMY_L7qjDYG5OUg.9516.de9929486d422d23dbf48258d3a857b3&h=5900a87c8892&sub=E-13e6635ce29&pageOrigin=F..RP.MB.M88
10:09-15:14,326502.0,LATAM Airlines,BOG,https://www.kayak.com.co/book/flight?code=SpAie7S5Hv.6Fz1aSgQistFj024N3_sTg.8661.8d3d5fe08f05e2d83ed67231248a71bd&h=04f37875edfa&sub=E-1e7cf1a9b77&pageOrigin=F..RP.MB.M89
18:38-20:26,279809.0,"Viva Air Colombia, LATAM Airlines",directo ,https://www.kayak.com.co/book/flight?code=SpAie7S5Hv.iPJIaPv5Rj5w1Q3KrTU5Gg.7325.54a260782952a0643df445716db7a2f8&h=a47dd05d7968&sub=E-1912a1bf02b&pageOrigin=F..RP.MB.M90
